city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Gijón,43.535728,-5.66152,284.60916,280.0074,4.601776,287.32132,282.26688,5.0544434,293.2582,288.46637,4.7918396,290.1887,285.3754,4.8132935,0.0,0.0
Glasgow,55.86515,-4.25763,279.35437,275.198,4.156372,283.9183,277.5362,6.3821106,289.99942,283.67154,6.327881,285.10486,279.95944,5.1454163,0.0,0.0
Granada,37.188171,-3.60667,285.4553,277.50726,7.9480286,290.89542,282.0142,8.881226,301.6188,291.2901,10.328705,293.38098,284.8026,8.578369,32.74193548387097,12.258064516129032
Graz,47.066669,15.45,275.6388,269.17712,6.46167,286.22134,276.7562,9.465149,295.6622,285.7873,9.874908,285.84363,278.07297,7.7706604,2.3225806451612905,1.1935483870967742
Grenoble,45.166672,5.71667,277.1241,269.85382,7.270294,285.60245,276.07285,9.529602,295.18973,284.71985,10.469879,286.68872,277.8637,8.825012,1.7741935483870968,1.1290322580645162
Groningen,53.21917,6.56667,278.6824,275.0524,3.630005,285.12488,278.8554,6.26947,293.17813,286.591,6.5871277,286.73816,281.72052,5.017639,0.8064516129032258,0.6451612903225806
Göteborg,57.707161,11.96679,275.69415,272.0434,3.6507568,283.05865,276.47662,6.5820312,292.43146,285.7232,6.708252,284.33804,279.72565,4.6123962,0.0967741935483871,0.06451612903225806
Haarlem,52.38084,4.63683,279.58603,276.56836,3.0176697,284.77875,280.03366,4.7450867,292.49557,287.6124,4.8831787,287.2062,283.31903,3.8871765,0.1935483870967742,0.1935483870967742
Hagen,51.360809,7.47168,278.01324,273.80826,4.2049866,286.51733,278.51193,8.005402,295.00412,286.21582,8.7883,286.6394,280.53625,6.1031494,5.129032258064516,2.6774193548387095
Hamburg,53.575321,10.01534,277.48642,273.50943,3.9769897,285.87054,277.6654,8.205139,294.8254,285.82635,8.999054,286.35483,280.25888,6.0959473,3.7419354838709675,1.903225806451613
Hannover,52.370522,9.73322,277.7474,273.57132,4.1760864,286.55093,278.1214,8.429535,295.5595,286.16818,9.391327,286.72906,280.29712,6.431946,6.225806451612903,2.774193548387097
Harrogate,53.99078,-1.5373,279.8527,275.43866,4.414032,284.88516,277.8691,7.0160522,291.842,284.46414,7.3778687,286.17896,280.45575,5.7232056,0.12903225806451613,0.12903225806451613
Heidelberg,49.407681,8.69079,278.16742,273.61172,4.5556946,287.91544,279.23645,8.678986,297.3005,287.66083,9.639679,287.51138,280.70187,6.8095093,11.870967741935484,4.354838709677419
Helsinki,60.169521,24.93545,271.9055,268.40305,3.5024414,278.90546,273.79477,5.1106873,291.33124,286.38925,4.941986,282.23694,278.82526,3.4116821,0.0,0.0
Hoofddorp,52.302502,4.68889,279.58603,276.56836,3.0176697,284.77875,280.03366,4.7450867,292.49557,287.6124,4.8831787,287.2062,283.31903,3.8871765,0.1935483870967742,0.1935483870967742
Hull,53.744598,-0.33525,280.42517,276.23468,4.1904907,284.82877,278.91425,5.9145203,291.9798,285.55573,6.4240723,286.86893,281.65982,5.2091064,0.06451612903225806,0.06451612903225806
Innsbruck,47.262661,11.39454,271.7196,264.31134,7.408264,280.46918,271.6624,8.806763,290.1134,280.76526,9.348145,281.81418,273.42355,8.390625,0.0,0.0
Jerez de la Frontera,36.686451,-6.13606,289.4014,282.9808,6.4205933,293.8251,286.60156,7.2235413,301.87238,293.46942,8.402954,296.33533,289.53735,6.7979736,38.516129032258064,10.03225806451613
Kaliningrad,54.70649,20.51095,274.8596,271.04645,3.8131409,284.2157,276.69128,7.524414,294.64413,286.62833,8.015808,285.10745,279.64368,5.4637756,2.096774193548387,1.1935483870967742
Karlsruhe,49.004719,8.38583,278.11346,273.4958,4.617676,287.76428,279.1653,8.5989685,297.0855,287.57343,9.512085,287.44382,280.6801,6.7637024,10.387096774193548,4.0
Kassel,51.316669,9.5,276.91122,272.87885,4.032379,285.87436,277.69824,8.176117,294.88348,285.65573,9.227753,285.88864,279.629,6.2596436,4.387096774193548,2.2903225806451615
Katowice,50.258419,19.02754,275.4957,270.52966,4.966034,286.70828,277.5196,9.18869,296.62766,286.6938,9.933868,286.59204,279.13312,7.4589233,7.096774193548387,2.935483870967742
Kaunas,54.900002,23.9,273.20322,269.0404,4.1628113,284.77313,275.8138,8.95932,295.5471,285.7692,9.777893,284.19376,277.99728,6.196472,3.3548387096774195,1.7741935483870968
Kiel,54.321331,10.13489,277.28424,274.03268,3.2515564,284.14948,278.03137,6.118103,293.34015,286.5456,6.7945557,285.8586,281.27582,4.582794,0.25806451612903225,0.1935483870967742
Kiev,50.454659,30.5238,272.80133,268.31686,4.4844666,286.34103,277.8223,8.518738,298.05533,288.23755,9.81778,285.3646,278.264,7.100586,11.161290322580646,4.161290322580645
Košice,48.713951,21.25808,274.98834,269.77493,5.2134094,287.62823,277.62357,10.004669,297.97336,286.947,11.026367,286.75104,278.38422,8.366821,12.548387096774194,5.064516129032258
Kraków,50.061432,19.936581,275.26324,269.97202,5.2912292,286.38458,277.015,9.369568,296.27213,286.16638,10.105743,286.24548,278.31964,7.9258423,5.903225806451613,2.5483870967741935
Krasnodar,45.044842,38.976028,278.68875,271.62372,7.065033,289.69855,280.00943,9.689117,302.36996,291.2669,11.103058,291.12677,281.43457,9.6922,45.29032258064516,15.161290322580646
Krefeld,51.339211,6.58615,279.14697,274.82422,4.322754,287.40756,279.21487,8.192688,295.76492,286.91653,8.848389,287.62292,281.28586,6.3370667,6.935483870967742,3.193548387096774
Köln,50.933331,6.95,278.42676,274.2429,4.1838684,286.78995,278.8228,7.9671326,295.25937,286.54648,8.712891,286.96274,280.8461,6.116638,5.806451612903226,2.774193548387097
L'viv,49.838261,24.023239,274.4269,269.5043,4.9226074,286.6172,277.3029,9.314301,297.00867,286.69562,10.313049,286.25003,278.4528,7.797241,7.290322580645161,3.3548387096774195
La Spezia,44.110538,9.84339,282.25415,278.794,3.460144,287.6851,283.3168,4.368286,297.0284,292.26373,4.764679,290.32422,286.4175,3.9067078,0.3870967741935484,0.3548387096774194
Lausanne,46.515999,6.63282,276.739,271.18356,5.5554504,285.1597,276.95642,8.203278,294.35294,285.76358,8.589355,285.98993,279.26828,6.721649,1.2903225806451613,0.7419354838709677
Le Havre,49.493801,0.10767,281.38284,277.80173,3.5811157,285.9707,280.69666,5.274048,293.06924,287.4478,5.6214294,288.4244,283.80862,4.6157837,0.4838709677419355,0.3548387096774194
Le Mans,48.0,0.2,281.3286,275.9344,5.394226,288.4852,279.6469,8.838287,296.83575,286.77625,10.059509,289.44965,281.73636,7.7132874,7.451612903225806,3.3225806451612905
Lecce,40.357029,18.17202,286.4847,282.88623,3.5984802,291.05048,286.46252,4.5879517,301.2893,295.9013,5.3880005,294.6696,290.40924,4.2603455,23.516129032258064,9.612903225806452
Leeds,53.796478,-1.54785,279.89392,275.4838,4.4101257,285.0127,277.96985,7.0428467,291.99884,284.59836,7.400482,286.26227,280.561,5.7012634,0.12903225806451613,0.12903225806451613
Leicester,52.638599,-1.13169,280.3911,275.7343,4.6567993,285.88608,278.50552,7.380554,293.37823,285.31418,8.064056,287.1347,280.99588,6.1388245,0.967741935483871,0.6129032258064516
Leipzig,51.339619,12.37129,277.3616,272.92398,4.437622,286.8935,278.2615,8.631989,296.56683,286.86914,9.697693,286.89694,280.19894,6.697998,8.806451612903226,3.064516129032258
